X,Y,TYPE,NAME,ONEWAY,LANES
-17.5284055999861,14.7451160000506,unclassified,,,
-17.52814545,14.74471605,footway,,,
-17.51677345,14.74062255,secondary,route des Almadies,,
-17.5277637526085,14.7448947795669,unclassified,,,
-17.5163260147786,14.7389574549963,tertiary,,,
-17.52489965,14.7436366,residential,,,
-17.5241502394488,14.7460459031714,service,,,
-17.5243516243269,14.7461262972843,service,,,
-17.52479955,14.74624795,service,,,
-17.5243963993625,14.7457231933088,service,,,
-17.5247085998928,14.7458297500111,service,,,
-17.5240536154604,14.7432372283787,residential,,,
-17.5228150390023,14.7425207477467,unclassified,,,
-17.5228771499902,14.7440741000097,unclassified,,,
-17.5233957601188,14.7452099443,service,,,
-17.522120061826,14.7426415287615,unclassified,,,
-17.5213218500248,14.7458986997824,service,,,
-17.5222940499991,14.7450859499894,service,,,
-17.5211927,14.74139935,tertiary,,,
-17.5167069326739,14.7450800045962,residential,,,
-17.5209883551498,14.7467075330259,service,,,
-17.5202162499939,14.7469966500241,service,,,
-17.5205917,14.7469344,service,,,
-17.52070625,14.7445236,residential,,,
-17.5198020737707,14.7424028604538,residential,,,
-17.5202519,14.7417648,footway,,,
-17.5195694013128,14.7446547426902,residential,,,
-17.5191256,14.7440503,residential,,,
-17.5184940472046,14.7442240940848,residential,,,
-17.5186997610538,14.7463657965271,residential,,,
-17.5190966130816,14.7411394580727,residential,,,
-17.5182830499999,14.7481777,residential,"talli bou bess, ngor",-1,
-17.5177579,14.7438848114598,residential,,,
-17.5186496,14.7487266,residential,,,
-17.5178744550286,14.7495656985854,residential,,,
-17.5174363715969,14.7421001964192,residential,,,
-17.5178309,14.7461215,unclassified,,,
-17.51789185,14.7478836,residential,,,
-17.51758003216,14.7491144852176,residential,boulangerie Ngor,-1,
-17.5170412957816,14.7428597071255,residential,,,
-17.5166550506669,14.7434199156333,residential,,,
-17.5165793092431,14.7441977683071,residential,,,
-17.51750525,14.74812705,residential,,,
-17.5173155750868,14.7481212137146,residential,,,
-17.5172065175344,14.747826153839,residential,,,
-17.5172021,14.74960515,residential,,,
-17.5157904,14.7393186,residential,,,
-17.5160431524256,14.7485896660275,residential,,,
-17.5157919499984,14.7453927000045,service,,,
-17.5154021,14.74229105,residential,,,
-17.5144679945043,14.745685298071,service,,,
-17.5141659,14.74234915,residential,,,
-17.5139864848603,14.7406850793235,residential,,,
-17.5149350136649,14.7494386360384,residential,route mosquée de Ngor,-1,
-17.514358076831,14.7448487733463,service,,,
-17.5116385166572,14.7395583314177,residential,,,
-17.5128046831278,14.7459476602725,tertiary,,,
-17.5144217395317,14.7490304111968,tertiary,,,
-17.5137762000939,14.7487823185225,residential,,,
-17.513557,14.74039435,unclassified,,,
-17.5140146961832,14.7458565124842,service,,,
-17.51271825,14.73923805,residential,,,
-17.5113028789264,14.7484187207285,residential,,,
-17.5126949554237,14.7418431465957,residential,,,
-17.5123117506389,14.7425181511432,residential,,,
-17.5125837548172,14.7370417953505,residential,,,
-17.51226855,14.74125595,residential,,,
-17.5116546166734,14.7365650069061,residential,,,
-17.5121845563931,14.749476660601,residential,,,
-17.5118612009745,14.7436504595313,tertiary,,yes,
-17.5116103447374,14.7437170706306,tertiary,,,
-17.5107044938844,14.7398591485381,residential,,,
-17.5116205583086,14.7434679547427,tertiary,,,
-17.5104105001208,14.7403630008627,primary,,no,
-17.5105899850477,14.7423345735741,residential,,,
-17.5110437,14.7383086,residential,,,
-17.510772479788,14.7386105503671,residential,,,
-17.5106497000376,14.7361566499059,residential,,,
-17.5113581971375,14.7486546909649,residential,,,
-17.5112235371089,14.7494898174648,tertiary,,,
-17.5109410000179,14.7487445000977,residential,,,
-17.51096865,14.74989865,footway,,,
-17.5097024217979,14.7491473837763,residential,,,
-17.5104865,14.74846125,residential,,,
-17.5101007,14.742015,residential,,,
-17.5078226643284,14.7424516982686,residential,,,
-17.5104746,14.73571275,residential,,,
-17.5098709249448,14.7353975349441,residential,,,
-17.5101373499617,14.748055950126,residential,,,
-17.5080604,14.7451767,residential,,,
-17.5098264756662,14.7438085853705,residential,,,
-17.5095952999793,14.7449173999977,residential,,,
-17.5086875505952,14.7393104859405,residential,,,
-17.5091176000033,14.7393104999989,residential,,,
-17.5089434000333,14.7457500000045,residential,,,
-17.5095630589499,14.7490124681387,residential,,,
-17.5092971,14.74471215,residential,,,
